method,label,training_seed,evaluation_seed,episode,target_n,variant,policy_mode,ended_by,discounted_return,undiscounted_return,episode_length
AN,mc_learned_baseline,46,10000046,0,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,1,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,2,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,3,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,4,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,5,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,6,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,7,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,8,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,9,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,10,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,11,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,12,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,13,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,14,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,15,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,16,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,17,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,18,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,19,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,20,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,21,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,22,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,23,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,24,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,25,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,26,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,27,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,28,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,29,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,30,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,31,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,32,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,33,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,34,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,35,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,36,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,37,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,38,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,39,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,40,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,41,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,42,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,43,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,44,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,45,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,46,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,47,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,48,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,49,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,50,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,51,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,46,10000046,52,2,source,stochastic,task_complete,1.05,1.15,2
