round,source_episodes,round_source_episodes,direction_passed,candidate_count,fit_kl,accepted,experiment,method,label,seed,source_steps_total
1,456,356,,1,1.4115232978563994e-09,True,P-L,AN,mc_learned_baseline,41,456
2,812,356,,1,1.24857091782666e-08,True,P-L,AN,mc_learned_baseline,41,812
3,1168,356,,1,4.7404982973812916e-09,True,P-L,AN,mc_learned_baseline,41,1168
4,1524,356,,1,1.2415352844774872e-09,True,P-L,AN,mc_learned_baseline,41,1524
5,1880,356,,1,1.429802472989567e-09,True,P-L,AN,mc_learned_baseline,41,1880
6,2236,356,,1,2.1245777058770046e-08,True,P-L,AN,mc_learned_baseline,41,2236
7,2592,356,,1,9.089708780094471e-10,True,P-L,AN,mc_learned_baseline,41,2592
8,2948,356,,1,8.5611028006883e-09,True,P-L,AN,mc_learned_baseline,41,2948
9,3304,356,,1,1.3845429749061064e-08,True,P-L,AN,mc_learned_baseline,41,3304
10,3660,356,,1,7.981884040204036e-09,True,P-L,AN,mc_learned_baseline,41,3660
11,4016,356,,1,3.8814184685437535e-09,True,P-L,AN,mc_learned_baseline,41,4016
12,4372,356,,1,4.2935753443572135e-09,True,P-L,AN,mc_learned_baseline,41,4372
13,4728,356,,1,7.779549411628246e-09,True,P-L,AN,mc_learned_baseline,41,4728
14,5084,356,,1,4.616678267994143e-08,True,P-L,AN,mc_learned_baseline,41,5084
15,5440,356,,1,3.525532663832265e-08,True,P-L,AN,mc_learned_baseline,41,5440
16,5796,356,,1,5.3415942166592344e-08,True,P-L,AN,mc_learned_baseline,41,5796
17,6152,356,,1,7.458159827807628e-08,True,P-L,AN,mc_learned_baseline,41,6152
18,6508,356,,1,1.8869932829295132e-08,True,P-L,AN,mc_learned_baseline,41,6508
19,6864,356,,1,3.708440016448472e-08,True,P-L,AN,mc_learned_baseline,41,6864
20,7220,356,,1,6.9821526062197e-08,True,P-L,AN,mc_learned_baseline,41,7220
21,7576,356,,1,2.5851777722629255e-08,True,P-L,AN,mc_learned_baseline,41,7576
22,7932,356,,1,2.676693509763958e-08,True,P-L,AN,mc_learned_baseline,41,7932
23,8288,356,,1,1.0379267838017419e-08,True,P-L,AN,mc_learned_baseline,41,8288
24,8644,356,,1,5.704357259469314e-09,True,P-L,AN,mc_learned_baseline,41,8644
25,9000,356,,1,2.2292089111206688e-08,True,P-L,AN,mc_learned_baseline,41,9000
26,9356,356,,1,3.536537966608448e-09,True,P-L,AN,mc_learned_baseline,41,9356
27,9712,356,,1,2.84003914980397e-08,True,P-L,AN,mc_learned_baseline,41,9712
28,10068,356,,1,1.719372362372852e-09,True,P-L,AN,mc_learned_baseline,41,10068
29,10424,356,,1,9.062939011053294e-10,True,P-L,AN,mc_learned_baseline,41,10424
30,10780,356,,1,1.2655788890283346e-09,True,P-L,AN,mc_learned_baseline,41,10780
31,11136,356,,1,2.7112354223969407e-10,True,P-L,AN,mc_learned_baseline,41,11136
32,11492,356,,1,8.473008124963806e-11,True,P-L,AN,mc_learned_baseline,41,11492
33,11848,356,,1,5.977063316878875e-12,True,P-L,AN,mc_learned_baseline,41,11848
34,12204,356,,1,5.145948419788456e-10,True,P-L,AN,mc_learned_baseline,41,12204
35,12560,356,,1,9.996887658793088e-12,True,P-L,AN,mc_learned_baseline,41,12560
36,12916,356,,1,1.1613197421905652e-12,True,P-L,AN,mc_learned_baseline,41,12916
37,13272,356,,1,9.809429910054135e-14,True,P-L,AN,mc_learned_baseline,41,13272
38,13628,356,,1,8.633991833069282e-13,True,P-L,AN,mc_learned_baseline,41,13628
39,13984,356,,1,2.1510901982991127e-13,True,P-L,AN,mc_learned_baseline,41,13984
40,14340,356,,1,1.072509071533001e-12,True,P-L,AN,mc_learned_baseline,41,14340
41,14696,356,,1,9.606970287163287e-13,True,P-L,AN,mc_learned_baseline,41,14696
42,15052,356,,1,6.036090280263474e-11,True,P-L,AN,mc_learned_baseline,41,15052
43,15408,356,,1,7.473970589466778e-13,True,P-L,AN,mc_learned_baseline,41,15408
44,15764,356,,1,6.926858167880045e-13,True,P-L,AN,mc_learned_baseline,41,15764
45,16120,356,,1,1.6458918707329935e-13,True,P-L,AN,mc_learned_baseline,41,16120
46,16476,356,,1,2.6758961947645285e-13,True,P-L,AN,mc_learned_baseline,41,16476
47,16832,356,,1,2.8633861669617474e-13,True,P-L,AN,mc_learned_baseline,41,16832
48,17188,356,,1,2.1689722382051964e-13,True,P-L,AN,mc_learned_baseline,41,17188
49,17544,356,,1,1.5140562406114713e-13,True,P-L,AN,mc_learned_baseline,41,17544
50,17900,356,,1,3.182009437893847e-13,True,P-L,AN,mc_learned_baseline,41,17900
51,18256,356,,1,8.655428855960051e-13,True,P-L,AN,mc_learned_baseline,41,18256
52,18612,356,,1,5.008149801618019e-13,True,P-L,AN,mc_learned_baseline,41,18612
53,18968,356,,1,3.859516630949493e-11,True,P-L,AN,mc_learned_baseline,41,18968
54,19324,356,,1,1.4764636780809756e-13,True,P-L,AN,mc_learned_baseline,41,19324
55,19680,356,,1,8.311011324802462e-14,True,P-L,AN,mc_learned_baseline,41,19680
56,20036,356,,1,1.3814003210357393e-13,True,P-L,AN,mc_learned_baseline,41,20036
57,20392,356,,1,1.081945784496505e-13,True,P-L,AN,mc_learned_baseline,41,20392
58,20748,356,,1,1.8022681194334552e-13,True,P-L,AN,mc_learned_baseline,41,20748
59,21104,356,,1,1.417330578908347e-13,True,P-L,AN,mc_learned_baseline,41,21104
60,21460,356,,1,1.7925319739872367e-13,True,P-L,AN,mc_learned_baseline,41,21460
61,21816,356,,1,2.6921859284056837e-13,True,P-L,AN,mc_learned_baseline,41,21816
62,22172,356,,1,8.290923794813728e-14,True,P-L,AN,mc_learned_baseline,41,22172
63,22528,356,,1,9.08906242580731e-14,True,P-L,AN,mc_learned_baseline,41,22528
64,22884,356,,1,9.660680385085139e-14,True,P-L,AN,mc_learned_baseline,41,22884
65,23240,356,,1,1.2987780583678965e-13,True,P-L,AN,mc_learned_baseline,41,23240
66,23596,356,,1,9.919122012906053e-14,True,P-L,AN,mc_learned_baseline,41,23596
