experiment,method,label,oracle_label_group,seed,update,source_steps_total,source_steps_training,source_steps_critic,source_steps_direction_check,source_steps_return_check,source_steps_monitor,source_complete_episodes,agent_decisions,budget,training_return,monitor_return,exact_source_return_diagnostic,actual_return_gain_diagnostic,old_new_kl,baseline_kind,baseline_missing_states,entropy,seconds,accepted,reason,eta,attempts,forward_kl_training,direction_loss,direction_steps,q_bound,return_check_gain,return_check_mode,return_check_standard_error,critic_validation_mse,label_mse_against_exact_joint_advantage,critic_explained_variance,direction_error,direction_norm,exact_direction_score_diagnostic
T-L,AN,mc_learned_baseline,False,46,1,2760,256,256,0,2048,200,1380,5520,262144,0.19148437499999996,0.27959999999999996,0.3537805067478608,0.034766506747860804,0.00048014453156419224,public_state_tabular_independent_mc,0,0.6154101721564078,0.04776939994189888,True,accepted_empirical,0.1,1,4.083214628530262e-09,-0.09295686636771183,100,5.0,0.03650390625,empirical,0.009725281415594476,0.4074925527356591,0.1717049778337192,0.012895825385180526,0.0016149602719140095,0.09742593899636695,0.08713260046703336
T-L,AN,mc_learned_baseline,False,46,2,5520,512,512,0,4096,400,2760,11040,262144,0.26578125,0.3693,0.3853238480951947,0.031543341347333886,0.0003885192466729948,public_state_tabular_independent_mc,0,0.6060388490658812,0.08832989993970841,True,accepted_empirical,0.1,1,2.829174318697718e-10,-0.07828634380120933,100,5.0,0.01822265625,empirical,0.007819769762739756,0.4097018814119803,0.18016032329669657,-0.02294456635063913,0.0004251725145285591,0.07869802366153697,0.08891154759255102
T-L,AN,mc_learned_baseline,False,46,3,8280,768,768,0,6144,600,4140,16560,262144,0.37617187500000004,0.3135,0.4188130211593146,0.033489173064119915,0.00044488124632664024,public_state_tabular_independent_mc,0,0.594615724366543,0.13080889999400824,True,accepted_empirical,0.1,1,8.293311764338787e-09,-0.0903901783592729,100,5.0,0.0305859375,empirical,0.008229101330814344,0.41862762077980425,0.17393035489902514,0.0150722869581138,0.0013389348251098736,0.09032258832266438,0.08806260857559911
T-L,AN,mc_learned_baseline,False,46,4,11040,1024,1024,0,8192,800,5520,22080,262144,0.51890625,0.47699999999999987,0.4551027930252075,0.036289771865892884,0.0005292808075407922,public_state_tabular_independent_mc,0,0.5814581678774199,0.17688179994001985,True,accepted_empirical,0.1,1,6.349034374083668e-09,-0.10370281379100567,100,5.0,0.028359375000000003,empirical,0.010207721704019516,0.4079086308165836,0.16064827761380376,-0.008283035697808971,0.0026035989860456956,0.10689141925364426,0.08641337528898912
T-L,AN,mc_learned_baseline,False,46,5,13800,1280,1280,0,10240,1000,6900,27600,262144,0.45914062499999997,0.516,0.4885954140083225,0.03349262098311501,0.0004501574524547184,public_state_tabular_independent_mc,0,0.5692719243996065,0.21744069992564619,True,accepted_empirical,0.1,1,3.658496940596606e-10,-0.09201966734690721,100,5.0,0.03369140625,empirical,0.008842363376550954,0.39118640147253947,0.16603633471812917,0.006318613199959189,0.00010353008263801418,0.09191706332163885,0.08791331069806452
T-L,AN,mc_learned_baseline,False,46,6,16560,1536,1536,0,12288,1200,8280,33120,262144,0.478125,0.4364999999999999,0.5218352239023797,0.03323980989405717,0.00045413563645429073,public_state_tabular_independent_mc,0,0.5566619171454372,0.25772170000709593,True,accepted_empirical,0.1,1,4.319124993141635e-09,-0.09203228847554867,100,5.0,0.0277734375,empirical,0.009176815386869463,0.38877733785330043,0.15530113015176714,0.03677513311555891,0.00018166819847568381,0.09229681272795295,0.08614554771298105
T-L,AN,mc_learned_baseline,False,46,7,19320,1792,1792,0,14336,1400,9660,38640,262144,0.49828124999999995,0.5741999999999998,0.5527798707302097,0.030944646827830047,0.0004076131125533921,public_state_tabular_independent_mc,0,0.5436989961188339,0.2990939998999238,True,accepted_empirical,0.1,1,6.086623426898167e-09,-0.08234495021860752,100,5.0,0.02490234375,empirical,0.007391479626104975,0.3831539361612414,0.1639733886150338,0.007420903920926647,0.000607586217180417,0.08253801394194407,0.0834658864187475
T-L,AN,mc_learned_baseline,False,46,8,22080,2048,2048,0,16384,1600,11040,44160,262144,0.537421875,0.6881999999999999,0.5838239538366243,0.0310440831064146,0.0004242398963037153,public_state_tabular_independent_mc,0,0.5301750445871102,0.3447813999373466,True,accepted_empirical,0.1,1,5.91894791685872e-09,-0.08751665267472145,100,5.0,0.038203125000000004,empirical,0.010352819698746055,0.3588851153517503,0.15270218110211953,0.001482927034053061,0.0004709970705439933,0.0871716190676527,0.08104776638619732
T-L,AN,mc_learned_baseline,False,46,9,24840,2304,2304,0,18432,1800,12420,49680,262144,0.620859375,0.5307,0.6090798625657197,0.025255908729095333,0.0002930569018308448,public_state_tabular_independent_mc,0,0.519106796208108,0.3878396999789402,True,accepted_empirical,0.1,1,4.590698936063164e-09,-0.05994981706295065,100,5.0,0.02525390625,empirical,0.00840291459215697,0.3043390164108462,0.1315556875210379,0.00022966059692675067,0.0016950880518972478,0.05995176601693601,0.07663815091757249
T-L,AN,mc_learned_baseline,False,46,10,27600,2560,2560,0,20480,2000,13800,55200,262144,0.6309375000000002,0.645,0.6385468673660688,0.02946700480034914,0.00043069708535307824,public_state_tabular_independent_mc,0,0.505458089546624,0.43445770000107586,True,accepted_empirical,0.1,1,1.7862920502275304e-09,-0.0811786131647941,100,5.0,0.03521484375,empirical,0.011270701552591968,0.325903857421875,0.12909886952043556,0.02499060092060834,0.0034149040672739944,0.0882096921078254,0.07184399649113385
T-L,AN,mc_learned_baseline,False,46,11,30360,2816,2816,0,22528,2200,15180,60720,262144,0.6578906250000001,0.6077999999999999,0.6614059880820398,0.02285912071597096,0.00026680908095533566,public_state_tabular_independent_mc,0,0.4947771052179991,0.4732283999910578,True,accepted_empirical,0.1,1,3.649374212403805e-09,-0.05701888688212447,100,5.0,0.014296875,empirical,0.005832675224494439,0.2757304656788523,0.1123256038879287,0.012016914005687718,0.0020724348434098183,0.05442916540517169,0.06934432844702207
T-L,AN,mc_learned_baseline,False,46,12,33120,3072,3072,0,24576,2400,16560,66240,262144,0.7380468750000001,0.6497999999999999,0.6840112103513862,0.02260522226934647,0.0002813251864005658,public_state_tabular_independent_mc,0,0.48372994274749403,0.5210737999295816,True,accepted_empirical,0.1,1,5.1179571219862955e-09,-0.0566872238403294,100,5.0,0.01658203125,empirical,0.006308895255793942,0.25123502979767626,0.09962706940613933,0.010486162090369122,0.0026343976729868305,0.058273305394203764,0.06529818716797646
T-L,AN,mc_learned_baseline,False,46,13,35880,3328,3328,0,26624,2600,17940,71760,262144,0.709921875,0.7772999999999999,0.704443982262571,0.020432771911184755,0.00023720936954496174,public_state_tabular_independent_mc,0,0.4730072775861405,0.5617823000065982,True,accepted_empirical,0.1,1,2.1743459845562054e-09,-0.049121066193859086,100,5.0,0.0253125,empirical,0.008535189529861967,0.23743557582482,0.10069705909446805,-0.002953728908423381,0.0015586131421619616,0.048982516841990204,0.0626498113669184
T-L,AN,mc_learned_baseline,False,46,14,38640,3584,3584,0,28672,2800,19320,77280,262144,0.7195312500000002,0.7820999999999999,0.725804494963791,0.02136051270121997,0.0002744158569815315,public_state_tabular_independent_mc,0,0.46131417646711387,0.6073758999118581,True,accepted_empirical,0.1,1,3.3168496416020295e-10,-0.0559496012421671,100,5.0,0.016757812499999997,empirical,0.007665188447382376,0.24554720104177932,0.10204195794633698,0.004210101106845832,0.0001473864173694897,0.05656410376616548,0.06039390222804533
T-L,AN,mc_learned_baseline,False,46,15,41400,3840,3840,0,30720,3000,20700,82800,262144,0.7771875000000001,0.7397999999999999,0.7418555233210082,0.01605102835721728,0.0001698526187225096,public_state_tabular_independent_mc,0,0.4525199869231092,0.6530463999370113,True,accepted_empirical,0.1,1,1.2196050955212882e-09,-0.03453489785884678,100,5.0,0.0137109375,empirical,0.005570014609956543,0.18841231306532935,0.07823847681181287,-0.02873434864727442,0.003879545803484555,0.0347424686517279,0.05261319027499719
T-L,AN,mc_learned_baseline,False,46,16,44160,4096,4096,0,32768,3200,22080,88320,262144,0.7825781250000001,0.8603999999999999,0.7597149891490427,0.017859465828034438,0.00022572117650579215,public_state_tabular_independent_mc,0,0.44267445929371274,0.6951933999080211,True,accepted_empirical,0.1,1,1.827806681722027e-09,-0.04390076336239971,100,5.0,0.027597656249999998,empirical,0.007831116546445057,0.22255103128213877,0.09422840378857407,0.008250650266224624,0.001687575006020603,0.04672341464214755,0.05147449225301734
T-L,AN,mc_learned_baseline,False,46,17,46920,4352,4352,0,34816,3400,23460,93840,262144,0.7748437500000002,0.7106999999999999,0.7757420704910631,0.016027081342020466,0.00019114976212826539,public_state_tabular_independent_mc,0,0.4325152813788303,0.7371539999730885,True,accepted_empirical,0.1,1,3.08245851529512e-09,-0.03882395526156207,100,5.0,0.01921875,empirical,0.007730350258193936,0.18569101613862415,0.07600559749798688,0.010341593142068173,0.0008632992067334994,0.03895724887710826,0.04837273765261642
T-L,AN,mc_learned_baseline,False,46,18,49680,4608,4608,0,36864,3600,24840,99360,262144,0.7282031250000001,0.7541999999999999,0.7938916478044922,0.018149577313429033,0.00028798428513814793,public_state_tabular_independent_mc,0,0.4209843822184687,0.7790808000136167,True,accepted_empirical,0.1,1,3.14396474677328e-09,-0.06461048607614789,100,5.0,0.01083984375,empirical,0.005192574406088971,0.2294774702350684,0.09235532642332055,0.01572475455636624,0.004920680602554343,0.060204713863418746,0.0408532833806137
T-L,AN,mc_learned_baseline,False,46,19,52440,4864,4864,0,38912,3800,26220,104880,262144,0.8118750000000001,0.7722,0.808386904454231,0.01449525664973883,0.0001934724775751649,public_state_tabular_independent_mc,0,0.4111604111506725,0.8234050999162719,True,accepted_empirical,0.1,1,3.029227543836893e-09,-0.04042767190531421,100,5.0,0.01833984375,empirical,0.00638075339071512,0.16767228521690286,0.0729910667661195,-0.006514818488717378,0.0015918901087732605,0.039937449011434895,0.040007194834940585
T-L,AN,mc_learned_baseline,False,46,20,55200,5120,5120,0,40960,4000,27600,110400,262144,0.7837500000000002,0.7977,0.8258586495430501,0.0174717450888191,0.00030996846095108366,public_state_tabular_independent_mc,0,0.39899552502891855,0.8671029999386519,True,accepted_empirical,0.1,1,5.155228792186843e-10,-0.06568918419433126,100,5.0,0.01048828125,empirical,0.0046295042104612955,0.19152208371248308,0.088149690569734,0.0006922291430895289,0.004959002134323746,0.06511913536512257,0.03318283058775538
T-L,AN,mc_learned_baseline,False,46,21,57960,5376,5376,0,43008,4200,28980,115920,262144,0.8144531250000002,0.8682,0.8408999951219319,0.015041345578881815,0.00027731552300576856,public_state_tabular_independent_mc,0,0.3881471880955989,0.9071292999433354,True,accepted_empirical,0.1,1,5.078011484070253e-09,-0.06046670201054787,100,5.0,0.014296875,empirical,0.00559794089384194,0.174842138671875,0.0776145788916324,0.000743066812698645,0.007102976576276946,0.05835181184935658,0.026674179976785374
T-L,AN,mc_learned_baseline,False,46,22,60720,5632,5632,0,45056,4400,30360,121440,262144,0.8158593750000002,0.8625,0.8528277404048292,0.011927745282897306,0.000179955859263706,public_state_tabular_independent_mc,0,0.37850821949342006,0.9474994000047445,True,accepted_empirical,0.1,1,5.372709550777639e-10,-0.03823773660643856,100,5.0,0.016054687499999998,empirical,0.005680186472690391,0.13750345160836475,0.053642814107845285,0.01158459313261806,0.0008994283271002238,0.037214789060866615,0.02893680233684824
T-L,AN,mc_learned_baseline,False,46,23,63480,5888,5888,0,47104,4600,31740,126960,262144,0.8437500000000002,0.8448,0.8631648570684741,0.010337116663644896,0.00019855055748224022,public_state_tabular_independent_mc,0,0.3705023161985958,0.9902093999553472,True,accepted_empirical,0.1,1,6.731850431184797e-10,-0.043072381159989806,100,5.0,0.0045703125,empirical,0.003228535280289055,0.1246698416362585,0.05468512524130143,-0.0003335114483120627,0.010219246676614896,0.04233021921935696,0.016634121518357345
