method,label,training_seed,evaluation_seed,episode,target_n,variant,policy_mode,ended_by,discounted_return,undiscounted_return,episode_length
AN,mc_learned_baseline,43,10000043,0,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,1,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,2,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,3,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,4,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,5,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,6,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,7,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,8,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,9,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,10,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,11,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,12,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,13,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,14,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,15,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,16,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,17,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,18,2,source,stochastic,task_complete,0.75,0.85,2
AN,mc_learned_baseline,43,10000043,19,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,20,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,21,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,22,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,23,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,24,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,25,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,26,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,27,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,28,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,29,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,30,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,31,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,32,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,33,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,34,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,35,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,36,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,37,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,38,2,source,stochastic,task_complete,0.75,0.85,2
AN,mc_learned_baseline,43,10000043,39,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,40,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,41,2,source,stochastic,task_complete,0.75,0.85,2
AN,mc_learned_baseline,43,10000043,42,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,43,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,44,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,45,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,46,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,47,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,48,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,49,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,50,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,51,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,52,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,53,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,54,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,55,2,source,stochastic,task_complete,0.75,0.85,2
AN,mc_learned_baseline,43,10000043,56,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,57,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,58,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,59,2,source,stochastic,task_complete,0.75,0.85,2
AN,mc_learned_baseline,43,10000043,60,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,61,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,62,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,63,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,64,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,65,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,66,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,67,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,68,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,69,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,70,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,71,2,source,stochastic,task_complete,1.05,1.15,2
AN,mc_learned_baseline,43,10000043,72,2,source,stochastic,task_complete,1.05,1.15,2
