method,label,training_seed,evaluation_seed,episode,target_n,variant,policy_mode,ended_by,discounted_return,undiscounted_return,episode_length
AN,mc_learned_baseline,47,10000047,0,4,source,stochastic,task_complete,4.2,4.2,1
AN,mc_learned_baseline,47,10000047,1,4,source,stochastic,task_complete,4.5,4.5,1
AN,mc_learned_baseline,47,10000047,2,4,source,stochastic,task_complete,4.2,4.2,1
AN,mc_learned_baseline,47,10000047,3,4,source,stochastic,task_complete,4.2,4.2,1
AN,mc_learned_baseline,47,10000047,4,4,source,stochastic,task_complete,4.5,4.5,1
AN,mc_learned_baseline,47,10000047,5,4,source,stochastic,task_complete,4.5,4.5,1
AN,mc_learned_baseline,47,10000047,6,4,source,stochastic,task_complete,4.8,4.8,1
AN,mc_learned_baseline,47,10000047,7,4,source,stochastic,task_complete,3.6,3.6,1
AN,mc_learned_baseline,47,10000047,8,4,source,stochastic,task_complete,4.2,4.2,1
AN,mc_learned_baseline,47,10000047,9,4,source,stochastic,task_complete,4.5,4.5,1
AN,mc_learned_baseline,47,10000047,10,4,source,stochastic,task_complete,4.2,4.2,1
AN,mc_learned_baseline,47,10000047,11,4,source,stochastic,task_complete,4.2,4.2,1
AN,mc_learned_baseline,47,10000047,12,4,source,stochastic,task_complete,3.9,3.9,1
AN,mc_learned_baseline,47,10000047,13,4,source,stochastic,task_complete,4.2,4.2,1
AN,mc_learned_baseline,47,10000047,14,4,source,stochastic,task_complete,4.2,4.2,1
AN,mc_learned_baseline,47,10000047,15,4,source,stochastic,task_complete,4.2,4.2,1
AN,mc_learned_baseline,47,10000047,16,4,source,stochastic,task_complete,4.5,4.5,1
AN,mc_learned_baseline,47,10000047,17,4,source,stochastic,task_complete,4.2,4.2,1
AN,mc_learned_baseline,47,10000047,18,4,source,stochastic,task_complete,4.2,4.2,1
AN,mc_learned_baseline,47,10000047,19,4,source,stochastic,task_complete,4.2,4.2,1
AN,mc_learned_baseline,47,10000047,20,4,source,stochastic,task_complete,4.2,4.2,1
AN,mc_learned_baseline,47,10000047,21,4,source,stochastic,task_complete,4.8,4.8,1
AN,mc_learned_baseline,47,10000047,22,4,source,stochastic,task_complete,4.5,4.5,1
AN,mc_learned_baseline,47,10000047,23,4,source,stochastic,task_complete,4.5,4.5,1
AN,mc_learned_baseline,47,10000047,24,4,source,stochastic,task_complete,4.5,4.5,1
AN,mc_learned_baseline,47,10000047,25,4,source,stochastic,task_complete,4.5,4.5,1
AN,mc_learned_baseline,47,10000047,26,4,source,stochastic,task_complete,4.2,4.2,1
AN,mc_learned_baseline,47,10000047,27,4,source,stochastic,task_complete,4.2,4.2,1
AN,mc_learned_baseline,47,10000047,28,4,source,stochastic,task_complete,3.6,3.6,1
AN,mc_learned_baseline,47,10000047,29,4,source,stochastic,task_complete,4.5,4.5,1
AN,mc_learned_baseline,47,10000047,30,4,source,stochastic,task_complete,4.2,4.2,1
AN,mc_learned_baseline,47,10000047,31,4,source,stochastic,task_complete,4.5,4.5,1
AN,mc_learned_baseline,47,10000047,32,4,source,stochastic,task_complete,4.5,4.5,1
AN,mc_learned_baseline,47,10000047,33,4,source,stochastic,task_complete,4.5,4.5,1
AN,mc_learned_baseline,47,10000047,34,4,source,stochastic,task_complete,4.2,4.2,1
AN,mc_learned_baseline,47,10000047,35,4,source,stochastic,task_complete,4.5,4.5,1
AN,mc_learned_baseline,47,10000047,36,4,source,stochastic,task_complete,4.2,4.2,1
AN,mc_learned_baseline,47,10000047,37,4,source,stochastic,task_complete,4.5,4.5,1
AN,mc_learned_baseline,47,10000047,38,4,source,stochastic,task_complete,4.5,4.5,1
AN,mc_learned_baseline,47,10000047,39,4,source,stochastic,task_complete,4.5,4.5,1
AN,mc_learned_baseline,47,10000047,40,4,source,stochastic,task_complete,4.8,4.8,1
AN,mc_learned_baseline,47,10000047,41,4,source,stochastic,task_complete,4.5,4.5,1
AN,mc_learned_baseline,47,10000047,42,4,source,stochastic,task_complete,4.2,4.2,1
AN,mc_learned_baseline,47,10000047,43,4,source,stochastic,task_complete,4.2,4.2,1
AN,mc_learned_baseline,47,10000047,44,4,source,stochastic,task_complete,4.5,4.5,1
AN,mc_learned_baseline,47,10000047,45,4,source,stochastic,task_complete,4.5,4.5,1
AN,mc_learned_baseline,47,10000047,46,4,source,stochastic,task_complete,4.5,4.5,1
AN,mc_learned_baseline,47,10000047,47,4,source,stochastic,task_complete,4.5,4.5,1
AN,mc_learned_baseline,47,10000047,48,4,source,stochastic,task_complete,4.8,4.8,1
AN,mc_learned_baseline,47,10000047,49,4,source,stochastic,task_complete,3.6,3.6,1
AN,mc_learned_baseline,47,10000047,50,4,source,stochastic,task_complete,4.2,4.2,1
AN,mc_learned_baseline,47,10000047,51,4,source,stochastic,task_complete,4.2,4.2,1
AN,mc_learned_baseline,47,10000047,52,4,source,stochastic,task_complete,4.2,4.2,1
AN,mc_learned_baseline,47,10000047,53,4,source,stochastic,task_complete,4.2,4.2,1
AN,mc_learned_baseline,47,10000047,54,4,source,stochastic,task_complete,4.2,4.2,1
AN,mc_learned_baseline,47,10000047,55,4,source,stochastic,task_complete,4.2,4.2,1
AN,mc_learned_baseline,47,10000047,56,4,source,stochastic,task_complete,4.5,4.5,1
AN,mc_learned_baseline,47,10000047,57,4,source,stochastic,task_complete,4.5,4.5,1
AN,mc_learned_baseline,47,10000047,58,4,source,stochastic,task_complete,4.2,4.2,1
AN,mc_learned_baseline,47,10000047,59,4,source,stochastic,task_complete,3.9,3.9,1
AN,mc_learned_baseline,47,10000047,60,4,source,stochastic,task_complete,4.5,4.5,1
AN,mc_learned_baseline,47,10000047,61,4,source,stochastic,task_complete,4.2,4.2,1
