path,current_path,status,original_sha256,current_sha256
manifold_project/experiments/assess_navigation_stability.py,manifold_project/experiments/cooperative_navigation/tools/stability.py,moved_unchanged,e2e935ab013bb6dff619dc75d255d000ab40b3c7e7b2171abbffc2dd59fe7e90,e2e935ab013bb6dff619dc75d255d000ab40b3c7e7b2171abbffc2dd59fe7e90
manifold_project/experiments/continue_navigation.py,,removed_from_active_tree,8421676379926d8d10b0a712b157a6a8ebfb1fe68753a2e4a72ce3962874d95c,
manifold_project/experiments/cooperative_navigation/__init__.py,manifold_project/experiments/cooperative_navigation/__init__.py,unchanged,dbb3ffc904737a3803ce7c043d1b5b1d883872142c3900a0936ae68704c7ee07,dbb3ffc904737a3803ce7c043d1b5b1d883872142c3900a0936ae68704c7ee07
manifold_project/experiments/cooperative_navigation/analyze.py,manifold_project/experiments/cooperative_navigation/analyze.py,unchanged,427e5ae2cd44b362a2ef22aa53b2a9cf0d701f9945fcac3896e9922be18f803f,427e5ae2cd44b362a2ef22aa53b2a9cf0d701f9945fcac3896e9922be18f803f
manifold_project/experiments/cooperative_navigation/configs/formal.json,manifold_project/experiments/cooperative_navigation/configs/formal.json,adapted,a70d0da8e786910c638df28deeb6879d7fb13ce4289767dec35619e28d6709ee,c99c20f8084847371b685b232937647d5c09416d7af620e367a7298b21c30215
manifold_project/experiments/cooperative_navigation/configs/pilot.json,manifold_project/experiments/cooperative_navigation/configs/pilot.json,adapted,3d028ea227a56fd0a5024b36db3bdec25125b3f855bce32d510e64e432f9e191,12f9c274efe9999226277c68a78c1446b44746cfbde584c8885b1b0740908ead
manifold_project/experiments/cooperative_navigation/configs/smoke.json,manifold_project/experiments/cooperative_navigation/configs/smoke.json,adapted,a6e6d8b8dd09d32f038891e55083dc95ce678ea3a1e85f763f22bcdc7f3cb580,31742c91768e3f175c4d519440dc9175af5a754e04d8f6d4499c6a7522092e06
manifold_project/experiments/cooperative_navigation/configs/source.json,manifold_project/experiments/cooperative_navigation/configs/source.json,adapted,25e8258013f7d71869d1e5061f8ac5731b9fab5d98467edd344cd0c19940e0b8,f56924133b4f0a78b0b2f53e823602ca1f69c37104e2f506c12f8f3da0aa01c0
manifold_project/experiments/cooperative_navigation/configs.py,manifold_project/experiments/cooperative_navigation/configs.py,adapted,b00fc640d6a9e2966aff52d351dff13a0dc878c9f33547e7f6457b895ea09e23,dfa1f88eacb4a52020302b9fad318e6fd47294c98f69a6fe89af40f32b4bb4cc
manifold_project/experiments/cooperative_navigation/envs/__init__.py,manifold_project/experiments/cooperative_navigation/envs/__init__.py,unchanged,e06cdc0a9bbc03e66b99340adf6f9c8aa4813fd54ead8c66ec9121e5fd51a6ed,e06cdc0a9bbc03e66b99340adf6f9c8aa4813fd54ead8c66ec9121e5fd51a6ed
manifold_project/experiments/cooperative_navigation/envs/navigation.py,manifold_project/experiments/cooperative_navigation/envs/navigation.py,adapted,e7a54c3f152f4336a97fd5c521051f4dbb386924b429ed65afa5e9f726b9bde0,c39444c310e0a176eedb646ff359cdc07125b1fda1db3837568517f3066bb3e4
manifold_project/experiments/cooperative_navigation/evaluation/__init__.py,manifold_project/experiments/cooperative_navigation/evaluation/__init__.py,unchanged,07e9108f4bc2b888d97dfee392be3a6290ad6dc9c9695992112674b3cd750b9b,07e9108f4bc2b888d97dfee392be3a6290ad6dc9c9695992112674b3cd750b9b
manifold_project/experiments/cooperative_navigation/evaluation/arrival.py,,removed_from_active_tree,728fc5a59d50bdf8be7b2a12a5bf567dcbb34bc1efa31aab7fec7b4373aba1a3,
manifold_project/experiments/cooperative_navigation/evaluation/evaluate.py,manifold_project/experiments/cooperative_navigation/evaluation/evaluate.py,adapted,880c411abbdebe1a6667415188653c3a2c27fe2ec7767b227510fbd7a397f5ae,016dd4fe32a324404abaaa8a84a168b689d138cdd3c9586564d6cc890644c834
manifold_project/experiments/cooperative_navigation/evaluation/monitoring.py,manifold_project/experiments/cooperative_navigation/evaluation/monitoring.py,adapted,c6689c66d05466e39d22f1ca3b2f23f63e4a8e9ed5ba8f6968afcbfa13a4f3c5,b7d939a914870ab4b0d7ee40e0504399e34664cf1c798250b9270e0b48f269cd
manifold_project/experiments/cooperative_navigation/evaluation/plotting.py,manifold_project/experiments/cooperative_navigation/evaluation/plotting.py,adapted,98de621885de0bc94c2023e81ad8dc1d59e8c0e6c50821b5e5ba2937ec54b786,73d50e4fa92ee2284517d2db2337af0bd226934c35dc6b6ba0b9b3d3f22190c4
manifold_project/experiments/cooperative_navigation/evaluation/reporting.py,manifold_project/experiments/cooperative_navigation/evaluation/reporting.py,unchanged,dc856a0664a8ef1f889d69c71d854050692b8b1bef61ed5b7fec2844fcef49de,dc856a0664a8ef1f889d69c71d854050692b8b1bef61ed5b7fec2844fcef49de
manifold_project/experiments/cooperative_navigation/evaluation/transfer.py,manifold_project/experiments/cooperative_navigation/evaluation/transfer.py,adapted,f4bbe17daae8e768f7f830946e241af29a935389066484a37b198aa77993cf54,f30a85522ef35450c9b79bcf101a23d734b33f0e47d86e751c24c3bbf8669ecd
manifold_project/experiments/cooperative_navigation/models/__init__.py,manifold_project/experiments/cooperative_navigation/models/__init__.py,adapted,3d69e2bb4e2cbf0996f25ce7c9b1bcee2dea7c6ed7749bd9dda4b20ee029bc2b,bb2ca96287edcc723e987e9aec828f14d63fb5a5e746e98958f0c33fb2fcf7de
manifold_project/experiments/cooperative_navigation/observations/__init__.py,manifold_project/experiments/cooperative_navigation/observations/__init__.py,unchanged,1cd2781df4e6fb9dd4465f28c5d3d1a5e51e5f01d78954bc715992cff293f55d,1cd2781df4e6fb9dd4465f28c5d3d1a5e51e5f01d78954bc715992cff293f55d
manifold_project/experiments/cooperative_navigation/observations/history.py,manifold_project/experiments/cooperative_navigation/observations/history.py,unchanged,32f6265d331f1cde6684e88b7c7fba0965a92e46e93b8ceee9b833573d35f49b,32f6265d331f1cde6684e88b7c7fba0965a92e46e93b8ceee9b833573d35f49b
manifold_project/experiments/cooperative_navigation/requirements-environment.txt,manifold_project/experiments/cooperative_navigation/requirements-environment.txt,unchanged,ec413fd7d82088d416577ca84f1a989c5e5cfdce1f40efd1f9825e3e0b8bab3a,ec413fd7d82088d416577ca84f1a989c5e5cfdce1f40efd1f9825e3e0b8bab3a
manifold_project/experiments/cooperative_navigation/requirements.txt,manifold_project/experiments/cooperative_navigation/requirements.txt,unchanged,ccff697d814d6714646c4e2a7ed16947e145280733d2b9372cfd2159b1fa38fa,ccff697d814d6714646c4e2a7ed16947e145280733d2b9372cfd2159b1fa38fa
manifold_project/experiments/cooperative_navigation/run_experiments.py,manifold_project/experiments/cooperative_navigation/run_experiments.py,adapted,003ef0fbb8766a4c80858b50fde8ce895b5a41005bfdcceb7f4df6e46c29d70f,b1afeb29be1589fe3e3fbdf60c95b87dce21e4c6e2e34b898d559e0367b449a1
manifold_project/experiments/cooperative_navigation/tests/__init__.py,,removed_from_active_tree,95dd67eaf925815e22837e9fc1cdb6d20b4a67304230eecfd41dcd8498ee2245,
manifold_project/experiments/cooperative_navigation/tests/test_author_ppo.py,manifold_project/experiments/tests/test_restored_backend.py,merged_selected_functions,357132a1064619e6048a3cc8d0b326214da51dc3a3587689a15c40754940aa54,569ee5f5d431d1b6919b5670070df2a604a52a7d4f08172e0b71f1a4837e2959
manifold_project/experiments/cooperative_navigation/tests/test_continuation.py,,removed_from_active_tree,c7885581900074e40cbc1e4c431f9e6695b5b0a1d471ec94e02b3878feb278d9,
manifold_project/experiments/cooperative_navigation/tests/test_first_arrival.py,,removed_from_active_tree,19bf2fd4625702081bf3adc751997860a7c6b864ee42519848b42e64cce9a5af,
manifold_project/experiments/cooperative_navigation/tests/test_monitoring.py,,removed_from_active_tree,97819d930c11de14626b6b29db4e49b0e50b07e848a841f11e607a96655d523d,
manifold_project/experiments/cooperative_navigation/tests/test_protocol.py,manifold_project/experiments/tests/test_navigation_math.py,merged_selected_functions,bc86cb833ed6bf19ca0b41d5ce1e6f98ccc7a828462b6c5d8bd9450081d5939a,83d8646626dd09c2ebadd9c813f97964fe3db102fc0d2d6a1182c4b474a791f0
manifold_project/experiments/cooperative_navigation/tests/test_time_limits.py,,removed_from_active_tree,e562d019f9ab690073f96e3b33a2b09851894c323ae82db3bf46e53c1cd248f7,
manifold_project/experiments/cooperative_navigation/training/__init__.py,manifold_project/experiments/cooperative_navigation/training/__init__.py,unchanged,a4aa39547e7d355a50165193796764d86b93fdf93f83a5882a98da50f3094b6d,a4aa39547e7d355a50165193796764d86b93fdf93f83a5882a98da50f3094b6d
manifold_project/experiments/cooperative_navigation/training/author_ppo.py,manifold_project/experiments/cooperative_navigation/training/author_ppo.py,adapted,3a59eb7c0eb9e90420b8690f916a4d43261a17661e7b427a95ee74a46dc0692f,1216ea2edd2bd31479ab672dd168bf1c7867185ec82608c288e044fc06471c1d
manifold_project/experiments/cooperative_navigation/training/collector.py,manifold_project/experiments/cooperative_navigation/training/collector.py,adapted,c1d14079a1963bc803dca7296db7869250f6c099bc8b78cf329a5ffb4ba95460,70faa21d4dd034b531ec4789326bc4e3cf0a3d7d9e0506187db9ffdc15c8ee8a
manifold_project/experiments/cooperative_navigation/training/ppo.py,manifold_project/experiments/cooperative_navigation/training/ppo.py,unchanged,f040f51aea0681832accb4ca2cd3c9fe3ce1e925f60f746fbfe64ee9d62d3190,f040f51aea0681832accb4ca2cd3c9fe3ce1e925f60f746fbfe64ee9d62d3190
manifold_project/experiments/cooperative_navigation/training/runner.py,manifold_project/experiments/cooperative_navigation/training/runner.py,adapted,fa450b834dc0ffe35def90441070ed8a950ad0e72f337c1f99c10f12b6dc7951,3e535f3be904249975850dc8c1178abb2520bd592edfb0632964bd5c9098abc5
manifold_project/experiments/cooperative_navigation/training/storage.py,manifold_project/experiments/cooperative_navigation/training/storage.py,adapted,3532f48786a2e08fe0a77da99faa2f48513352473586760fb24ede12871d6903,43d818589a81e421d56e189a542a773f5af4c3c16149b76553bc593d1ba2304f
manifold_project/experiments/cooperative_navigation/vendor/mappo/LICENSE,manifold_project/experiments/cooperative_navigation/vendor/mappo/LICENSE,unchanged,0335be1babd64ea33302d4d365cdecc5985aaf5c4481236e0c5da07eb37a4580,0335be1babd64ea33302d4d365cdecc5985aaf5c4481236e0c5da07eb37a4580
manifold_project/experiments/cooperative_navigation/vendor/mappo/onpolicy/algorithms/r_mappo/algorithm/r_actor_critic.py,manifold_project/experiments/cooperative_navigation/vendor/mappo/onpolicy/algorithms/r_mappo/algorithm/r_actor_critic.py,unchanged,4ca6447bc7b76f1c0c1fb28225e3b41504f87c5ba3fb6eaa49da32ab1067f182,4ca6447bc7b76f1c0c1fb28225e3b41504f87c5ba3fb6eaa49da32ab1067f182
